Time_s,X,Y,Z
17.985,0.379,-0.066,-0.93
18.018,0.375,-0.059,-0.93
18.051,0.371,-0.063,-0.926
18.084,0.375,-0.059,-0.922
18.117,0.375,-0.063,-0.926
18.15,0.371,-0.063,-0.934
18.183,0.379,-0.066,-0.922
18.216,0.379,-0.066,-0.93
18.249,0.359,-0.059,-0.926
18.282,0.379,-0.059,-0.926
18.315,0.379,-0.063,-0.93
18.348,0.371,-0.051,-0.926
18.381,0.375,-0.066,-0.926
18.414,0.387,-0.063,-0.93
18.447,0.371,-0.059,-0.926
18.48,0.367,-0.059,-0.926
18.513,0.379,-0.07,-0.926
18.546,0.391,-0.07,-0.926
18.579,0.383,-0.066,-0.93
18.612,0.367,-0.059,-0.93
18.645,0.375,-0.059,-0.93
18.678,0.375,-0.063,-0.93
18.711,0.379,-0.063,-0.926
18.744,0.379,-0.07,-0.926
18.777,0.375,-0.063,-0.934
18.81,0.371,-0.059,-0.926
18.843,0.387,-0.055,-0.926
18.876,0.371,-0.063,-0.926
18.909,0.379,-0.066,-0.926
18.942,0.379,-0.066,-0.93
18.975,0.379,-0.063,-0.926
19.008,0.375,-0.059,-0.926
19.041,0.375,-0.063,-0.93
19.074,0.363,-0.063,-0.93
19.107,0.387,-0.07,-0.922
19.14,0.395,-0.07,-0.926
19.173,0.375,-0.063,-0.93
19.206,0.355,-0.055,-0.934
19.239,0.371,-0.059,-0.926
19.272,0.398,-0.07,-0.922
19.305,0.387,-0.063,-0.922
19.338,0.367,-0.055,-0.934
19.371,0.363,-0.059,-0.934
19.404,0.383,-0.055,-0.93
19.437,0.387,-0.066,-0.93
19.47,0.371,-0.063,-0.93
19.503,0.367,-0.059,-0.926
19.536,0.375,-0.066,-0.922
19.569,0.383,-0.059,-0.926
19.602,0.375,-0.059,-0.934
19.635,0.379,-0.07,-0.93
19.668,0.379,-0.066,-0.926
19.701,0.375,-0.066,-0.93
19.734,0.375,-0.066,-0.926
19.767,0.371,-0.055,-0.93
19.8,0.383,-0.066,-0.926
19.833,0.379,-0.059,-0.93
19.866,0.371,-0.059,-0.934
19.899,0.371,-0.063,-0.93
19.932,0.379,-0.055,-0.93
19.965,0.367,-0.055,-0.926
19.998,0.363,-0.063,-0.93
20.031,0.387,-0.066,-0.934
20.064,0.383,-0.063,-0.926
20.097,0.379,-0.063,-0.922
20.13,0.371,-0.07,-0.934
20.163,0.383,-0.066,-0.93
20.196,0.383,-0.063,-0.93
20.229,0.371,-0.063,-0.934
20.262,0.371,-0.063,-0.926
20.295,0.379,-0.066,-0.922
20.328,0.387,-0.063,-0.93
20.361,0.371,-0.059,-0.93
20.394,0.367,-0.055,-0.926
20.427,0.379,-0.066,-0.922
20.46,0.375,-0.074,-0.926
20.493,0.375,-0.066,-0.93
20.526,0.371,-0.059,-0.93
20.559,0.363,-0.059,-0.926
20.592,0.379,-0.063,-0.93
20.625,0.367,-0.059,-0.93
20.658,0.371,-0.063,-0.934
20.691,0.375,-0.066,-0.93
20.724,0.391,-0.07,-0.926
20.757,0.375,-0.063,-0.926
20.79,0.352,-0.055,-0.934
20.823,0.383,-0.055,-0.93
20.856,0.391,-0.07,-0.926
20.889,0.375,-0.063,-0.93
20.922,0.359,-0.055,-0.93
20.955,0.379,-0.059,-0.926
20.988,0.391,-0.059,-0.926
21.021,0.371,-0.066,-0.926
21.054,0.367,-0.066,-0.934
21.087,0.383,-0.059,-0.926
21.12,0.379,-0.066,-0.93
21.153,0.371,-0.066,-0.926
21.186,0.371,-0.063,-0.93
21.219,0.375,-0.063,-0.93
21.252,0.375,-0.063,-0.922
21.285,0.379,-0.063,-0.926
21.318,0.379,-0.051,-0.93
21.351,0.383,-0.063,-0.93
21.384,0.367,-0.059,-0.93
21.417,0.367,-0.059,-0.934
21.45,0.391,-0.066,-0.926
21.483,0.387,-0.059,-0.93
21.516,0.363,-0.059,-0.934
21.549,0.367,-0.066,-0.93
21.582,0.383,-0.066,-0.93
21.615,0.379,-0.059,-0.926
21.648,0.375,-0.07,-0.926
21.681,0.383,-0.063,-0.926
21.714,0.375,-0.059,-0.93
21.747,0.371,-0.066,-0.922
21.78,0.387,-0.066,-0.93
21.813,0.387,-0.066,-0.93
21.846,0.387,-0.066,-0.93
21.879,0.387,-0.066,-0.93
21.912,0.387,-0.066,-0.93
21.945,0.387,-0.066,-0.93
21.978,0.387,-0.066,-0.93
22.011,0.387,-0.066,-0.93
22.044,0.387,-0.066,-0.93
22.077,0.387,-0.066,-0.93
22.11,0.387,-0.066,-0.93
22.143,0.387,-0.066,-0.93
22.176,0.387,-0.066,-0.93
22.209,0.387,-0.066,-0.93
22.242,0.387,-0.066,-0.93
22.275,0.387,-0.066,-0.93
22.308,0.387,-0.066,-0.93
22.341,0.387,-0.066,-0.93
22.374,0.387,-0.066,-0.93
22.407,0.387,-0.066,-0.93
22.44,0.387,-0.066,-0.93
22.473,0.387,-0.066,-0.93
22.506,0.387,-0.066,-0.93
22.539,0.387,-0.066,-0.93
22.572,0.387,-0.066,-0.93
22.605,0.387,-0.066,-0.93
22.638,0.387,-0.066,-0.93
22.671,0.387,-0.066,-0.93
22.704,0.387,-0.066,-0.93
22.737,0.387,-0.066,-0.93
22.77,0.387,-0.066,-0.93
22.803,0.387,-0.066,-0.93
22.836,0.387,-0.066,-0.93
22.869,0.387,-0.066,-0.93
22.902,0.387,-0.066,-0.93
22.935,0.387,-0.066,-0.93
22.968,0.387,-0.066,-0.93
23.001,0.387,-0.066,-0.93
23.034,0.387,-0.066,-0.93
